2007,1,5.5,8.5,2.6,16.2,-1.9,84.5,10,14,4,0,4,5
2007,2,11.2,15.6,6.8,25.8,-1.1,56.7,8,10,0,0,1,2
2007,3,13.2,17.2,9.2,32.8,1.4,170.7,13,14,0,3,6,0
2007,4,16.8,21.5,12.2,32.1,5.0,142.4,8,9,0,3,3,0
2007,5,24.4,29.2,19.7,33.8,13.9,34.4,5,8,0,4,0,0
2007,6,26.1,29.4,22.7,36.0,18.1,168.4,11,17,0,5,3,0
2007,7,31.5,36.1,26.8,39.4,22.7,122.7,7,9,0,10,0,0
2007,8,30.8,35.2,26.5,39.5,23.9,60.4,6,11,0,10,0,0
2007,9,25.1,28.3,21.8,34.6,18.3,215.8,11,13,0,2,2,0
2007,10,20.1,23.8,16.5,31.5,10.7,249.1,2,5,0,0,1,0
2007,11,13.3,17.1,9.5,21.2,2.5,30.9,3,6,0,0,4,0
2007,12,9.0,11.5,6.6,16.3,-0.3,35.6,10,13,0,0,8,1
2008,1,3.9,6.3,1.6,17.0,-1.8,91.8,12,14,16,0,5,11
2008,2,4.5,8.1,0.8,22.6,-4.0,61.3,6,7,6,0,4,13
2008,3,13.3,17.9,8.8,24.5,4.0,37.7,6,10,0,2,1,0
2008,4,17.6,21.3,13.9,31.0,8.1,102.2,8,14,0,2,6,0
2008,5,23.7,28.8,18.5,34.9,13.5,98.1,7,9,0,2,0,0
2008,6,25.2,28.4,22.1,34.7,18.6,361.0,15,19,0,5,0,0
2008,7,30.7,35.3,26.1,38.5,23.1,114.4,9,11,0,11,0,0
2008,8,29.2,33.2,25.1,37.8,21.2,137.5,11,12,0,14,0,0
2008,9,26.5,30.1,22.9,35.9,18.9,44.2,9,10,0,2,1,0
2008,10,20.8,24.3,17.4,30.7,12.0,67.4,6,9,0,0,1,0
2008,11,13.2,16.5,9.9,22.7,1.3,118.5,9,10,0,0,6,0
2008,12,8.1,12.3,4.0,22.6,-3.2,20.5,3,5,2,0,3,4
2009,1,4.8,8.3,1.3,15.8,-5.2,31.6,7,10,2,0,2,13
2009,2,9.8,12.9,6.7,28.5,3.0,191.7,16,16,3,5,2,0
2009,3,11.6,15.4,7.7,26.9,2.6,117.8,15,18,2,1,1,0
2009,4,18.0,22.6,13.3,31.1,5.3,116.7,8,9,0,1,2,0
